price,id_web,post_title,product_id,total_sales,product_revenue,z_score
16.3,15767,Emile Boeckel Sylvaner Grand Cru Zotzenberg 2017,4102,1.0,16.3,-0.5822665088174446
16.3,16505,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,4103,12.0,195.60000000000002,-0.5822665088174446
9.7,15683,Emile Boeckel Riesling Brandluft 2018,4104,12.0,116.39999999999999,-0.8195867326691754
6.8,16504,Emile Boeckel Sylvaner Vieilles Vignes 2019,4105,5.0,34.0,-0.9238638007252389
12.6,15787,Emile Boeckel Pinot Noir Barriques Oberpfoeller 2018,4106,6.0,75.6,-0.7153096646131117
35.0,14800,Emile Boeckel Pinot Noir Terres Rouges 2016,4107,0.0,0.0,0.09014079209579261
31.7,15353,Zind-Humbrecht Riesling Herrenweg de Turckheim 2017,4108,2.0,63.4,-0.02851931983007281
23.0,15339,Zind-Humbrecht Pinot Gris Roche Calcaire 2017,4130,0.0,0.0,-0.3413505239982634
29.8,13209,Zind-Humbrecht Muscat Grand Cru Goldert 2015,4137,0.0,0.0,-0.09683877821163162
25.7,15341,Zind-Humbrecht Zind 2017,4138,6.0,154.2,-0.24426497787710078
77.4,13217,Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013,4139,0.0,0.0,1.6147434422947906
39.0,304,Champagne Gosset Grande Réserve,4141,40.0,1560.0,0.23397123079381124
53.0,11641,Champagne Gosset Grand Millésime 2006,4142,30.0,1590.0,0.7373777662368766
49.0,1662,Champagne Gosset Grand Rosé,4144,87.0,4263.0,0.5935473275388579
29.5,1360,Champagne Mailly Grand Cru Brut Réserve,4146,0.0,0.0,-0.10762606111398304
33.0,15648,Champagne Mailly Grand Cru Extra Brut Millésimé 2012,4147,3.0,99.0,0.018225572746783276
37.5,1364,Champagne Mailly Grand Cru Brut Rosé,4148,0.0,0.0,0.18003481628205426
69.0,7086,Champagne Mailly Grand Cru Intemporelle Rosé 2009,4149,0.0,0.0,1.3126995210289512
59.0,1366,Champagne Mailly Grand Cru Intemporelle 2010,4150,1.0,59.0,0.9531234242839045
13.7,15140,Elian Daros Côtes du Marmandais Abouriou 2016,4151,12.0,164.39999999999998,-0.6757562939711568
19.2,16238,Elian Daros Côtes du Marmandais Chante Coucou 2016,4152,7.0,134.4,-0.4779894407613811
29.0,16237,Elian Daros Côtes du Marmandais Clos Baquey 2015,4153,36.0,1044.0,-0.12560486595123538
9.8,15141,Elian Daros Côtes du Marmandais Le Vin Est Une Fête 2017,4154,18.0,176.4,-0.8159909717017249
14.5,14944,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,4155,3.0,43.5,-0.646990206231553
20.35,14941,Elian Daros Côtes du Marmandais Coucou Blanc 2016,4156,6.0,122.10000000000001,-0.43663818963570067
12.0,14751,Planeta Sicilia Alastro 2017,4157,0.0,0.0,-0.7368842304178146
18.5,16093,Planeta Sicilia Etna Rosso 2018,4158,0.0,0.0,-0.5031597675335343
9.3,15668,Planeta Sicilia La Segreta Bianco 2017,4159,3.0,27.900000000000002,-0.8339697765389772
9.3,15373,Planeta Sicilia La Segreta Rosso 2017,4160,7.0,65.10000000000001,-0.8339697765389772
11.6,15375,Planeta Sicilia Plumbago 2017,4161,0.0,0.0,-0.7512672742876164
14.3,14474,Domino Romano Ribera Del Duero Camino Romano 2016,4162,1.0,14.3,-0.6541817281664539
10.8,15482,Parés Baltà Penedès Calcari 2018,4163,3.0,32.400000000000006,-0.7800333620272202
7.6,13453,Parés Baltà Penedès Mas Petit 2015,4164,20.0,152.0,-0.8950977129856351
12.0,15075,Parés Baltà Penedès Indigena 2017,4165,3.0,36.0,-0.7368842304178146
20.5,16124,Ollieux Romanis Corbières Boutenac Atal Sia 2017,4166,6.0,123.0,-0.431244548184525
14.3,15785,Ollieux Romanis Corbières Rouge Cuvée Prestige 2017,4167,3.0,42.900000000000006,-0.6541817281664539
18.2,15784,Ollieux Romanis Corbières Blanc Cuvée Prestige 2018,4168,12.0,218.39999999999998,-0.5139470504358857
9.0,15786,Ollieux Romanis Corbières Classique 2018,4170,4.0,36.0,-0.8447570594413286
7.8,14332,Le Hameau Des Ollieux Monsieur Pinot 2017,4171,1.0,7.8,-0.8879061910507342
5.7,16210,Maurel Pays d'Oc Chardonnay 2019,4172,43.0,245.1,-0.9634171713671941
5.7,16211,Maurel Pays d'Oc Chenin-Colombard 2019,4173,13.0,74.10000000000001,-0.9634171713671941
5.7,16209,Maurel Cabardès Tradition 2017,4174,6.0,34.2,-0.9634171713671941
13.5,15629,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,4176,9.0,121.5,-0.6829478159060577
13.5,15583,Domaine de l'Hortus Val de Montferrand La Bergerie Blanc 2018,4177,0.0,0.0,-0.6829478159060577
11.5,16160,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rosé 2019,4178,17.0,195.5,-0.7548630352550669
24.0,16166,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,4179,7.0,168.0,-0.3053929143237587
24.0,15783,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,4180,0.0,0.0,-0.3053929143237587
11.9,16560,Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019,4181,9.0,107.10000000000001,-0.7404799913852652
16.7,15747,Borie La Vitarèle Saint-Chinian Les Schistes 2017,4182,3.0,50.099999999999994,-0.5678834649476427
21.4,15746,Borie La Vitarèle Saint-Chinian Les Crès 2016,4183,0.0,0.0,-0.39888269947747085
16.6,16190,Le Pas de l'Escalette Terrasses du Larzac Les Clapas Rouge 2018,4186,1.0,16.6,-0.5714792259150931
13.3,16189,Le Pas de l'Escalette Languedoc Les Petits Pas 2019,4187,42.0,558.6,-0.6901393378409586
9.5,16265,Château de La Liquière Languedoc Blanc Les Amandiers 2019,4188,8.0,76.0,-0.8267782546040763
12.1,16191,Le Pas de l'Escalette Coteaux du Languedoc Ze Rozé 2019,4190,5.0,60.5,-0.7332884694503641
9.3,16263,Château de La Liquière Faugères Les Amandiers Rouge 2019,4191,12.0,111.60000000000001,-0.8339697765389772
17.8,15605,Château de La Liquière Faugères Cistus Rouge 2017,4192,5.0,89.0,-0.5283300943056876
13.5,16529,Château de La Liquière Faugères Cistus Blanc 2019,4193,8.0,108.0,-0.6829478159060577
10.8,15441,Château de La Liquière Faugères 2017,4194,9.0,97.2,-0.7800333620272202
27.2,13032,Château de La Liquière Faugères Tucade 2015,4196,2.0,54.4,-0.1903285633653438
9.4,16256,Château de La Liquière Faugères Les Amandiers Rosé 2019,4197,8.0,75.2,-0.8303740155715268
5.8,16322,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,4198,0.0,0.0,-0.9598214103997436
5.8,16295,Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019,4200,46.0,266.8,-0.9598214103997436
